150,144,285,145,285,174,150,173
988,668,1053,667,1053,680,988,681
843,322,908,321,908,334,843,335
848,203,919,202,919,215,848,216
148,17,217,15,217,32,148,34
206,307,290,310,290,323,206,320
798,583,859,584,859,595,798,594
1118,628,1189,629,1188,641,1118,639
806,564,869,565,869,579,806,578
875,279,934,278,934,292,875,293
902,629,953,629,953,640,902,641
273,350,328,349,328,362,273,363
1044,17,1128,15,1128,31,1044,32
296,526,364,525,364,538,296,539
207,205,285,204,285,216,207,217
202,351,270,349,271,362,202,365
875,668,921,669,921,681,875,680
212,370,271,371,271,384,212,383
895,394,960,394,960,408,895,408
1000,68,1059,67,1059,81,1000,82
809,698,864,699,863,710,809,710
866,247,927,247,927,260,866,259
284,606,344,605,344,618,284,619
166,280,227,279,227,292,166,293
866,699,927,698,927,709,866,710
207,330,271,331,271,343,207,342
902,427,965,425,965,440,903,441
241,451,304,450,305,464,241,465
822,427,869,426,870,440,822,441
749,563,807,564,807,580,749,579
820,475,868,474,868,490,820,491
166,525,222,524,222,537,166,538
293,309,346,310,346,325,293,323
282,249,318,250,318,263,282,263
812,628,865,629,864,641,811,640
750,201,805,200,805,216,750,217
1237,17,1281,16,1281,32,1237,33
873,476,935,475,935,489,873,490
934,68,972,68,972,82,934,82
855,352,917,352,917,366,855,366
822,279,869,278,870,292,822,293
270,331,330,330,330,342,271,343
168,250,203,251,203,264,168,263
811,246,865,247,865,260,811,259
812,667,860,668,860,681,812,680
1127,648,1186,647,1186,659,1127,660
821,649,853,648,853,661,822,661
1152,68,1224,66,1225,81,1153,83
986,650,1022,649,1022,660,986,661
233,280,263,280,263,292,233,293
750,581,782,583,782,595,750,594
1049,648,1092,649,1092,661,1049,661
219,16,264,15,264,32,220,32
809,321,841,322,841,334,808,333
201,452,236,453,235,465,200,464
862,584,904,583,904,595,862,595
194,604,239,605,239,620,194,619
1252,67,1291,67,1291,82,1252,81
821,353,852,352,852,365,822,366
809,395,857,395,857,408,809,408
1023,583,1047,584,1047,595,1023,594
811,202,843,203,843,216,811,216
297,388,331,389,330,404,297,403
239,389,289,390,289,403,239,403
862,395,890,394,891,407,862,407
283,369,338,368,338,383,283,384
987,583,1020,582,1020,593,988,594
931,668,973,669,973,681,930,680
221,525,255,526,255,538,220,537
205,250,249,251,249,264,205,263
333,329,363,330,362,343,333,342
337,348,362,349,362,364,336,363
206,390,237,391,237,404,205,403
935,583,961,584,961,595,935,595
259,526,292,525,292,536,259,537
1090,67,1123,67,1123,81,1090,82
348,367,373,369,372,384,347,383
166,451,195,451,195,464,166,463
858,649,884,647,885,660,859,662
1174,17,1207,17,1207,31,1174,31
957,629,980,630,980,640,956,639
1057,629,1087,630,1087,640,1057,640
252,250,279,251,279,264,252,263
868,427,901,426,902,440,869,440
900,648,933,648,934,660,900,660
357,309,384,311,383,324,356,322
165,204,198,204,198,216,165,216
866,630,899,629,899,640,867,641
984,629,1026,629,1026,640,984,640
1028,630,1054,629,1054,640,1028,640
945,648,973,648,973,662,945,661
1099,649,1127,650,1127,661,1099,661
960,583,986,583,986,594,960,594
248,605,279,605,279,618,249,618
907,584,935,584,934,595,907,595
1019,650,1048,649,1048,661,1019,661
1089,629,1114,629,1114,640,1089,640
