input/our scores.jpg
320,156,488,154,488,186,321,187
340,603,422,602,422,617,341,618
481,246,530,247,530,262,481,261
1488,156,1575,154,1576,185,1488,187
339,555,400,553,400,568,340,569
319,15,395,13,395,32,320,34
835,228,896,226,896,239,835,241
483,290,535,289,535,303,483,304
1422,71,1503,70,1503,85,1422,86
1502,554,1556,553,1556,569,1503,570
1408,698,1493,699,1493,719,1408,718
1503,359,1556,358,1556,372,1504,374
1503,603,1557,602,1557,617,1503,618
403,846,456,846,455,860,403,860
1362,156,1472,154,1472,186,1362,188
1502,748,1556,747,1557,763,1502,764
338,698,421,697,421,717,338,718
1409,650,1490,650,1489,669,1409,669
1501,845,1557,845,1557,860,1502,861
338,649,417,650,417,669,338,668
1414,360,1487,358,1488,373,1414,374
1504,799,1556,797,1556,812,1504,814
500,504,553,505,553,520,500,519
520,699,569,700,569,715,520,714
423,360,485,359,485,375,423,376
842,270,889,268,890,281,843,283
1646,16,1695,15,1695,31,1647,32
1183,71,1225,71,1225,86,1183,86
1317,270,1377,269,1377,282,1317,282
339,504,400,503,400,519,339,520
490,748,542,749,542,764,490,763
1220,227,1276,226,1277,239,1221,241
1504,457,1557,455,1557,470,1504,472
1379,798,1490,797,1490,815,1379,816
1379,846,1439,846,1439,860,1380,860
1099,227,1139,226,1139,239,1099,240
1448,554,1488,553,1488,568,1448,569
1380,603,1439,603,1439,617,1380,618
338,359,411,358,412,373,339,374
340,457,399,456,400,472,340,473
1503,699,1556,698,1556,714,1503,714
1410,407,1489,406,1489,422,1410,423
396,747,460,748,460,766,395,765
1535,70,1576,71,1576,86,1534,86
747,228,799,226,800,239,747,241
1501,408,1557,407,1558,422,1502,423
622,228,663,227,663,239,622,240
1448,457,1488,456,1488,471,1448,471
1447,504,1486,503,1486,519,1447,519
613,360,670,358,670,373,613,374
340,407,412,407,413,422,340,423
535,603,595,602,596,617,535,618
1177,228,1214,227,1214,239,1177,240
579,270,638,269,638,282,579,283
668,456,715,455,715,471,668,472
337,849,372,847,373,862,338,863
1379,554,1439,553,1439,568,1379,569
409,554,470,552,470,568,409,569
1503,652,1556,651,1556,666,1503,666
409,456,470,455,470,472,409,473
1448,603,1488,603,1488,617,1448,617
407,503,476,503,476,521,407,520
669,227,723,226,724,240,669,241
339,748,390,747,390,766,339,767
532,248,572,247,573,260,533,261
501,846,562,846,562,861,501,861
947,269,996,268,996,282,947,282
567,843,620,843,621,862,567,863
600,601,656,602,656,620,600,620
519,651,569,652,569,666,519,666
548,228,616,226,617,239,548,241
776,269,838,268,838,281,776,282
1385,747,1489,748,1489,767,1385,766
1285,228,1328,226,1328,239,1285,241
653,748,699,747,699,764,653,765
502,554,552,553,553,567,502,568
398,14,447,13,447,31,398,32
1063,270,1111,268,1111,281,1064,282
1379,457,1438,456,1438,471,1379,471
660,798,705,797,705,812,660,813
586,749,643,747,643,763,587,765
668,553,715,553,715,568,668,569
598,457,658,455,658,472,599,473
506,269,550,270,550,282,505,282
425,650,488,651,488,668,425,668
1257,72,1322,71,1322,85,1257,86
667,503,717,503,717,521,667,520
502,457,553,457,554,471,502,472
491,798,544,798,544,812,491,813
338,799,389,798,389,815,338,816
709,270,769,269,769,281,710,283
516,407,567,408,567,423,516,422
1244,269,1273,269,1273,281,1244,281
587,798,646,797,646,813,588,815
680,405,732,406,732,424,680,424
984,227,1018,226,1018,239,985,240
649,270,678,269,678,280,649,281
395,798,464,799,464,814,395,814
1577,16,1613,15,1614,29,1577,30
507,227,542,226,543,239,507,240
515,359,567,359,567,372,515,373
1448,846,1488,846,1488,860,1448,860
1500,504,1556,503,1556,520,1500,520
611,408,671,408,671,423,612,423
616,651,673,651,674,666,616,667
682,358,731,357,732,374,682,375
439,603,489,603,489,617,439,616
798,228,830,228,830,239,798,240
1494,16,1526,15,1527,30,1495,31
618,699,674,699,674,715,618,714
1362,227,1390,226,1390,239,1362,239
423,698,491,699,491,716,423,715
1331,228,1358,227,1359,239,1331,240
682,649,725,649,725,668,682,668
1379,504,1440,503,1440,518,1380,519
598,553,658,553,658,569,598,570
421,406,485,407,485,424,421,423
1064,227,1095,227,1095,239,1064,240
906,227,935,226,936,239,906,240
682,698,734,697,734,716,682,716
595,503,659,504,659,520,594,520
1142,270,1204,269,1205,281,1143,283
1356,71,1392,71,1392,86,1356,86
1209,269,1236,268,1236,280,1210,281
937,227,964,226,964,239,937,240
1037,227,1062,227,1062,239,1037,239
1113,270,1139,271,1138,283,1113,283
560,457,582,457,582,471,560,471
481,269,511,269,510,282,481,281
493,603,519,602,519,617,493,617
680,269,703,269,703,281,680,280
577,652,599,651,599,665,577,666
461,846,486,845,487,859,462,860
574,360,596,359,596,372,575,373
1004,269,1032,269,1032,281,1004,281
1146,227,1170,227,1170,240,1146,240
574,408,597,408,598,421,574,421
959,227,982,226,982,240,959,240
894,270,922,269,922,281,894,282
560,554,583,553,583,567,560,568
479,226,507,226,507,240,479,239
560,505,583,505,583,519,560,519
550,798,570,798,570,813,550,814
551,748,571,748,571,764,551,764
1371,269,1396,269,1396,282,1371,282
577,701,598,700,598,713,577,714
550,270,574,270,574,282,550,282
1279,269,1313,269,1313,281,1279,281
1036,269,1059,269,1059,281,1036,281
924,269,945,269,945,281,924,281
