input/CyberSharks - oh hecc.JPG
237,175,346,174,346,209,237,210
260,285,398,283,398,320,261,321
258,785,454,783,455,818,259,820
260,352,384,349,384,377,261,379
234,14,320,13,320,34,235,36
1425,534,1503,533,1503,549,1425,550
1027,472,1118,471,1118,486,1027,488
1487,76,1579,76,1580,92,1487,93
1060,534,1146,533,1146,547,1060,548
396,351,478,349,479,373,397,375
347,534,427,532,427,548,347,549
1399,15,1501,14,1501,32,1399,33
546,570,610,569,610,586,546,588
742,534,821,533,821,547,742,548
818,570,900,569,900,586,819,587
836,471,889,470,889,485,836,486
343,572,400,570,400,586,343,588
412,286,495,285,496,314,413,315
691,646,754,645,754,662,692,663
1087,397,1158,395,1158,411,1087,412
1375,397,1431,396,1432,410,1375,411
1198,534,1250,533,1250,548,1198,549
945,609,1000,610,1000,624,945,624
582,285,652,283,653,313,583,315
825,496,874,495,874,509,825,510
405,570,494,569,494,585,405,586
955,533,1034,534,1034,549,955,548
325,13,379,12,379,32,326,32
1302,77,1376,78,1376,93,1302,92
672,497,728,495,728,509,672,511
1303,535,1355,534,1355,548,1303,548
586,786,677,785,677,820,586,822
633,471,707,470,707,485,633,486
496,534,545,533,545,548,497,549
438,535,488,534,489,547,438,549
666,396,737,397,737,411,666,410
592,609,637,608,637,623,593,624
508,791,575,790,575,812,508,813
584,647,631,647,631,660,584,661
1635,16,1692,15,1692,32,1635,32
717,471,769,470,769,485,717,485
688,436,731,435,731,448,688,448
1215,77,1265,76,1265,93,1215,94
448,610,488,609,489,623,448,624
637,534,703,532,703,547,638,549
743,397,797,395,798,411,743,413
897,535,943,533,944,547,898,549
553,496,591,495,592,509,554,511
906,573,953,572,953,586,907,587
374,434,427,434,428,450,375,450
1617,78,1661,77,1661,93,1617,94
644,609,686,610,686,624,644,624
506,290,575,289,575,313,506,314
741,608,791,609,790,624,741,623
331,435,368,435,368,448,331,448
883,495,949,494,949,512,883,513
723,571,778,570,778,585,723,586
537,609,587,608,587,624,538,625
1196,396,1234,395,1234,410,1197,411
417,473,454,471,455,486,417,488
593,395,659,396,659,410,593,410
1540,472,1591,471,1591,485,1540,486
1004,609,1043,609,1043,622,1004,623
359,610,397,609,397,623,359,624
1239,396,1276,397,1276,410,1238,410
355,496,416,495,416,511,355,513
522,397,555,396,556,409,523,410
1298,471,1379,470,1379,488,1298,489
591,472,631,471,631,485,591,486
593,534,631,533,631,547,593,548
310,470,346,471,346,486,309,485
860,394,918,395,918,412,859,411
350,472,409,471,409,485,351,486
1419,471,1510,470,1510,486,1419,487
463,435,508,433,509,449,463,451
984,472,1022,473,1022,486,984,485
778,470,831,470,831,485,778,486
496,571,541,571,542,586,496,586
733,497,773,496,774,511,733,512
1152,534,1192,534,1192,548,1152,548
445,397,513,396,513,411,445,412
321,610,354,609,355,624,321,626
892,471,939,470,940,485,892,486
498,471,547,471,547,486,498,486
1152,470,1215,470,1215,488,1152,488
380,647,407,646,408,662,380,662
474,497,510,496,510,511,474,511
1069,610,1117,611,1117,624,1069,623
1283,396,1345,395,1346,410,1284,411
308,644,350,644,350,663,308,662
421,496,468,494,469,511,422,513
992,396,1047,395,1047,410,993,410
928,395,959,395,959,411,927,411
962,396,989,395,989,410,962,411
1235,472,1263,472,1264,487,1235,487
520,646,552,645,553,660,520,661
310,534,340,534,341,548,310,548
467,646,515,646,514,661,467,661
436,648,464,648,464,661,436,661
827,535,854,534,855,547,828,548
1411,77,1452,76,1452,92,1411,93
363,397,412,396,412,409,363,410
331,395,359,395,359,410,331,410
515,497,550,495,551,511,516,513
1594,471,1626,471,1626,486,1593,486
309,571,339,572,339,586,309,586
400,610,444,609,444,623,400,624
912,608,942,608,942,623,912,623
637,647,683,646,683,660,637,660
627,434,650,434,650,447,627,447
801,397,833,396,833,411,801,412
560,396,585,395,585,410,560,410
550,472,587,471,587,485,550,486
1358,535,1387,535,1387,548,1358,548
1393,534,1417,534,1417,548,1393,547
555,433,604,433,604,448,555,448
517,434,548,433,549,447,518,449
551,534,588,533,588,547,551,548
459,472,492,471,492,485,459,486
557,646,581,647,580,660,557,660
471,786,498,786,498,813,472,814
860,536,891,536,890,548,859,547
876,608,905,609,905,623,876,623
843,609,867,609,868,622,844,623
796,609,834,609,834,624,796,624
1512,471,1540,472,1540,486,1512,485
775,496,814,497,814,510,775,509
691,571,719,571,718,584,691,584
1559,14,1599,14,1599,30,1559,30
660,572,684,573,684,586,659,585
309,495,343,495,343,510,309,510
1162,396,1192,396,1193,410,1162,411
1265,535,1298,534,1299,550,1266,551
835,397,863,396,863,411,835,412
600,496,631,495,631,510,600,511
358,646,380,647,379,663,357,662
1266,472,1295,472,1295,486,1266,486
1380,471,1412,472,1412,486,1380,486
942,472,980,471,980,486,943,487
619,573,653,572,653,585,619,585
494,608,530,608,530,625,494,625
430,434,457,433,457,449,430,449
782,572,812,571,813,585,783,586
714,610,735,610,735,624,714,624
655,436,679,436,679,449,655,448
413,398,438,398,438,410,413,410
1347,397,1374,398,1373,411,1346,410
712,535,740,534,740,547,712,548
310,434,335,434,335,447,310,447
1051,398,1078,398,1078,412,1051,411
630,497,668,497,668,512,629,512
414,647,436,647,436,661,415,662
1023,535,1054,534,1055,548,1024,548
675,609,708,610,708,625,675,624
1121,471,1146,471,1146,486,1121,486
