107,500,456,497,456,554,108,557
314,614,461,613,461,644,314,645
1034,69,1214,67,1215,100,1035,102
955,745,1217,747,1217,794,954,793
864,68,1032,69,1031,105,863,103
65,913,130,911,131,931,65,932
277,1144,420,1146,420,1168,277,1166
275,1443,412,1441,412,1472,275,1473
63,959,131,958,131,978,63,979
64,864,131,863,131,883,64,883
1699,632,1841,631,1841,669,1699,671
1427,243,1552,242,1552,268,1427,269
580,832,679,831,679,852,580,853
82,242,213,240,213,275,83,277
908,1143,1169,1141,1169,1172,908,1174
1387,343,1507,342,1507,369,1387,370
115,615,198,614,198,637,116,638
1905,162,1993,161,1993,181,1906,182
1454,832,1533,831,1533,856,1454,857
568,616,678,615,678,636,568,637
1790,1145,1870,1146,1870,1168,1790,1167
1741,347,1834,345,1835,365,1741,367
66,1007,131,1007,131,1027,66,1027
1696,161,1806,161,1806,183,1696,182
685,160,800,158,801,184,685,186
472,615,554,615,554,637,472,637
276,1301,340,1300,341,1319,276,1320
276,1371,383,1370,384,1395,276,1397
1790,1221,1852,1221,1852,1242,1789,1242
901,1444,1011,1443,1011,1466,901,1467
885,161,968,160,968,182,885,183
1475,161,1575,160,1576,185,1476,186
170,161,267,160,267,185,171,186
1856,631,1964,633,1963,669,1855,668
230,242,307,241,308,268,230,270
289,162,390,161,390,182,289,182
276,1222,345,1220,345,1243,276,1244
1788,1369,1851,1368,1852,1391,1789,1392
998,1370,1128,1368,1129,1397,999,1398
864,832,994,830,995,851,865,853
1253,345,1326,344,1326,365,1253,366
899,1296,981,1295,981,1319,899,1320
8,9,63,8,63,28,8,28
430,1144,506,1145,506,1168,430,1167
1278,829,1342,828,1342,851,1279,852
1021,1444,1105,1443,1105,1465,1022,1466
1100,161,1197,160,1197,181,1101,182
1650,243,1714,244,1714,266,1650,265
1925,8,1975,8,1975,28,1925,28
1129,1370,1240,1368,1240,1398,1130,1399
99,1444,161,1444,160,1466,98,1466
98,1370,161,1370,161,1392,98,1392
901,1221,952,1220,952,1243,901,1244
99,1295,161,1296,161,1319,99,1318
823,746,901,747,901,793,822,792
1110,831,1170,830,1170,854,1111,855
1789,1444,1851,1444,1851,1465,1789,1465
98,1221,158,1220,159,1243,98,1244
685,835,749,834,749,852,686,853
902,1370,989,1370,989,1392,903,1392
1789,1296,1851,1296,1851,1317,1789,1317
187,10,230,9,231,27,188,28
1355,160,1405,159,1406,181,1356,182
1893,345,1963,344,1964,365,1893,366
486,161,538,162,538,182,486,182
1279,161,1329,161,1329,182,1279,182
266,615,302,615,302,637,266,637
396,162,431,162,431,182,396,183
545,161,605,161,605,181,545,181
72,8,111,9,111,28,71,27
974,162,1011,164,1010,185,973,183
130,10,180,8,181,28,130,29
