55,238,223,237,223,268,56,268
1200,239,1308,238,1308,267,1200,268
1073,239,1184,237,1185,267,1073,269
1157,152,1237,152,1237,165,1157,166
73,687,154,685,154,699,73,701
199,51,279,50,279,64,199,64
71,734,149,735,149,751,71,750
55,98,127,97,128,114,55,115
369,51,435,51,435,64,369,65
1146,442,1223,441,1224,455,1146,456
1139,733,1222,734,1221,751,1139,750
82,10,138,11,137,23,81,22
446,351,505,349,506,361,447,363
74,441,146,442,146,456,74,455
525,371,581,370,582,383,525,384
75,587,132,588,132,602,74,601
397,538,454,539,454,556,396,554
73,490,147,491,147,505,73,504
74,637,134,636,134,650,74,651
74,539,133,540,133,554,74,553
1235,734,1291,734,1291,748,1236,748
268,685,326,684,327,699,269,701
931,351,978,350,978,362,931,363
712,352,757,350,757,363,712,364
140,539,205,540,205,555,140,553
1149,490,1222,490,1222,505,1148,505
352,371,412,371,412,385,352,386
415,734,467,735,466,749,415,748
602,372,654,371,655,383,603,384
596,327,647,328,647,342,596,341
1238,441,1291,440,1291,455,1238,456
1238,539,1291,540,1291,554,1238,553
338,685,385,684,385,700,338,701
377,329,418,329,418,341,377,342
1237,686,1291,684,1292,699,1237,701
251,490,301,490,301,505,251,504
537,308,593,308,593,321,538,321
415,307,486,307,486,321,416,321
1090,96,1132,96,1132,110,1090,110
133,96,180,96,181,113,133,114
414,439,467,440,466,458,414,457
237,539,287,541,287,553,237,552
1182,539,1220,540,1220,554,1182,553
1164,98,1213,97,1213,111,1164,112
1236,490,1291,489,1291,504,1236,504
918,153,959,152,959,166,918,166
154,734,224,735,224,750,154,749
398,587,451,586,452,602,398,603
1238,587,1291,587,1292,601,1238,601
346,735,407,733,408,748,347,750
1237,636,1291,636,1292,650,1237,650
991,153,1059,152,1059,165,991,166
1113,636,1177,635,1177,650,1113,651
1183,587,1220,588,1219,602,1182,601
376,307,413,308,413,321,376,320
649,330,685,329,685,341,649,342
853,307,890,306,890,320,853,321
969,308,1008,308,1008,321,969,321
239,587,286,588,286,601,239,600
1183,636,1219,637,1219,650,1182,650
237,637,288,636,288,650,237,650
1114,539,1173,538,1173,553,1114,554
333,588,389,586,390,602,333,603
399,634,454,635,454,652,399,651
420,328,481,329,481,342,420,341
252,735,306,735,306,749,251,748
703,309,764,308,764,320,703,321
377,350,416,350,416,362,377,362
141,636,208,637,208,651,141,650
1183,685,1219,685,1219,699,1183,700
344,11,374,10,375,22,344,22
487,328,536,327,536,341,487,342
579,350,639,349,640,362,579,363
1113,686,1175,685,1175,700,1113,701
487,371,518,371,519,383,487,384
1114,587,1173,586,1173,601,1114,602
155,441,221,441,221,456,155,457
141,586,207,587,207,603,140,602
332,540,390,538,390,554,333,555
874,350,901,351,901,363,873,362
345,489,407,489,406,505,345,505
45,11,73,10,73,22,46,23
414,487,467,488,467,507,413,506
154,489,220,490,220,505,154,505
932,308,962,308,963,320,932,321
250,441,300,441,300,455,251,455
804,308,830,307,830,320,805,322
612,309,667,309,668,321,612,322
350,307,374,307,374,321,350,320
669,309,701,309,700,321,668,320
156,51,193,51,194,64,157,65
1269,152,1310,151,1311,165,1270,166
309,10,336,10,337,22,310,23
174,686,223,686,223,699,174,700
283,51,331,50,332,63,283,65
763,352,792,351,792,362,763,363
819,350,865,351,865,362,819,362
981,352,1009,351,1009,363,981,364
535,330,562,329,562,341,536,341
1089,152,1126,151,1127,165,1089,166
331,51,367,51,366,65,331,65
418,371,443,371,443,383,418,384
330,636,392,634,392,651,331,653
990,97,1036,97,1036,111,990,111
905,308,930,308,929,320,905,320
563,328,595,327,595,341,563,341
344,440,406,441,406,456,343,455
645,350,705,349,706,362,645,363
549,350,575,350,575,362,549,362
448,371,482,371,482,383,448,384
294,589,316,589,316,600,295,601
231,686,251,686,251,699,231,699
491,308,535,309,535,321,491,321
350,327,375,328,375,342,350,341
350,349,376,350,376,363,350,362
902,351,925,351,925,362,902,362
307,491,329,490,330,504,307,504
829,307,852,307,852,321,829,321
776,308,804,307,804,320,776,321
292,638,317,638,317,650,293,650
308,735,334,734,334,747,308,747
307,442,328,441,328,455,308,455
517,351,547,350,548,361,518,363
293,541,315,541,315,552,293,553
418,351,448,352,448,363,418,363
794,351,816,352,816,362,794,362
572,371,610,372,610,384,571,383
