input/Surya_s Score.JPG
233,176,422,176,421,212,233,211
1412,177,1539,175,1539,210,1412,212
251,466,335,467,335,485,251,484
229,15,314,14,314,37,229,38
1484,78,1574,77,1574,93,1484,94
603,332,669,331,669,344,603,345
606,280,659,281,659,295,606,295
253,411,336,412,336,430,253,429
1400,16,1496,15,1496,33,1400,34
1575,525,1634,524,1634,540,1575,541
249,525,319,524,319,540,249,542
1573,412,1632,411,1632,429,1574,430
690,257,755,256,755,273,691,274
453,467,508,468,508,484,452,483
1553,176,1654,174,1654,210,1554,212
474,692,538,691,538,707,475,708
739,306,806,307,806,321,739,320
319,14,373,13,374,32,320,34
1319,257,1384,256,1384,271,1319,272
1434,691,1500,691,1500,707,1434,707
252,636,319,635,320,652,252,652
250,693,343,691,344,707,250,709
552,691,608,690,609,709,553,710
525,330,588,329,588,344,525,345
813,306,884,307,884,321,813,320
1574,691,1634,690,1634,707,1575,708
1572,579,1632,578,1632,595,1573,596
438,580,495,580,494,596,438,596
1473,466,1556,467,1556,485,1472,483
1433,524,1501,523,1501,540,1434,541
554,255,636,254,636,270,554,271
1233,307,1302,305,1302,320,1233,322
1574,467,1635,468,1635,484,1574,484
1510,523,1555,522,1555,540,1510,541
479,281,531,280,531,295,479,297
1211,78,1261,78,1260,94,1211,94
592,306,659,307,659,321,592,320
437,635,495,636,495,652,437,651
664,281,703,280,704,295,664,297
1573,635,1634,635,1634,652,1574,652
564,467,628,466,628,485,564,486
329,579,402,580,402,599,329,598
1051,255,1090,255,1090,270,1052,271
1434,580,1499,580,1499,596,1434,597
545,525,612,524,612,541,545,542
251,580,318,580,318,597,250,596
1433,635,1501,634,1501,652,1433,653
547,635,609,634,609,652,547,653
1471,411,1556,413,1556,430,1471,429
346,466,418,467,418,487,345,486
1630,16,1686,15,1686,33,1630,34
1300,79,1370,79,1370,94,1300,94
1511,690,1554,690,1555,707,1512,707
1612,79,1655,78,1656,93,1612,94
625,522,681,523,681,543,625,542
509,306,559,305,559,320,509,321
881,257,953,256,953,270,881,271
622,633,681,633,682,654,623,655
328,634,402,633,402,653,328,654
1182,256,1228,255,1228,270,1182,270
454,413,507,412,507,429,454,430
546,580,611,579,611,597,546,598
480,331,515,331,515,345,481,346
1343,306,1380,306,1380,320,1343,320
562,413,626,412,626,430,562,431
1011,306,1063,306,1063,321,1011,321
1510,634,1556,634,1556,652,1510,652
625,577,680,578,680,598,625,598
328,523,399,522,400,540,328,541
843,258,875,257,876,270,843,270
1510,580,1554,579,1554,596,1510,596
665,306,702,307,702,320,665,320
1107,306,1134,306,1135,320,1108,320
347,412,415,413,415,431,347,430
779,258,839,258,839,273,779,272
1554,15,1594,15,1594,32,1554,31
437,524,494,523,494,539,437,540
640,466,697,465,697,486,640,487
508,256,549,255,549,269,508,270
961,255,994,254,994,270,961,271
889,307,944,306,944,321,889,322
367,690,420,690,420,707,367,707
996,255,1024,255,1024,270,996,271
636,256,686,255,686,270,637,271
1110,256,1137,256,1137,270,1110,270
947,307,979,307,979,321,947,321
1198,308,1229,308,1228,322,1197,322
1139,306,1193,306,1193,320,1139,320
534,282,562,281,562,294,534,295
640,412,698,410,698,429,640,431
1074,306,1104,306,1104,320,1074,321
1267,257,1311,256,1312,270,1267,270
478,305,510,305,510,321,478,320
502,636,528,635,528,652,502,652
1306,306,1338,307,1337,321,1306,320
477,254,506,255,505,270,477,270
518,413,540,413,540,429,518,429
503,580,528,579,528,596,503,596
518,468,540,467,540,483,518,484
432,691,453,690,453,707,432,707
983,307,1007,307,1007,321,984,321
1140,257,1176,256,1176,270,1140,271
1235,256,1262,257,1262,271,1234,270
1407,78,1447,79,1447,94,1406,94
707,306,732,306,732,321,707,320
558,306,585,307,585,321,558,321
568,281,601,280,601,294,568,295
504,524,528,524,527,541,504,541
1025,255,1047,255,1047,270,1025,270
